comment_id_eri,applicant_id_eri,comment_date,comment_comments
Comment_1,Anonymous,2024-08-01 00:00:00,"Many applicants previously reported to FD that their birds had died, but these changes were not reflected on ERI's available data"
Comment_2,Anonymous,2024-08-01 00:00:00,"Many applicant commented that it was really great that we were doing a followup, as they previously had not been followed up with"
Comment_3,Anonymous,2024-08-01 00:00:00,One applicant noted that the FD officer said that spelling of names does not matter
Comment_4,Anonymous,2024-08-01 00:00:00,"Initially, the applicant had 4 birds- 3 red-lored and 1 yellow-headed parrot. He doesn’t believe in animals being caged, so all the birds were free. However, there was 1 bird that had more freedom. One day, the bird flew 1 block away and landed on someone’s shoulder and it was captured and sent to Belize City. The applicant was not able to obtain the bird again and hence decided to hand over the other red-lored’s to Miss Nikki. He had received 3 bands from a forestry officer but the bands were just handed over and not placed on the birds. So, when the red-lored flew away, it was harder to locate. The officer kept requesting $300 to register the birds and kept messaging saying he needed the money. After the applicant handed them to Miss Nikki, he decided that he wanted to register the yellow-headed parrot and the same person got back to him and was requesting money to do it. It is known that he charges several people around $150 for registration. All in all, the applicant hasn’t been able to get the bird registered due to fear of dealing with the same officer. He would like to have contact with a trustworthy person like Miss Victoria Chi. Corrupt male officer surname is Chi."
Comment_5,Anonymous,2024-08-01 00:00:00,App_294 permit is burned; requesting a new copy
Comment_6,App_18,2024-05-23 00:00:00,"App_18 indicated that back in the 2000s there were plenty of people who owned parrots, however, now, it is rare for him to see captive parrots. Additionally, the only person who he knows has a parrot, also has a permit."
Comment_7,App_320,2024-05-28 00:00:00,"App_320 indicated that years back, there were many captive parrots in the area, and when the FD tried to confiscate them, people chose to kill their parrots instead of giving it up. It was a tragedy. However, now, there aren't much seen in the area."
Comment_8,App_1032,2024-07-09 00:00:00,"App_1032's neighbor bought a baby bird around May and is in a small cage. Miss Chan warned her about consequences and told her to take better care of the bird, since she has attended workshops pertaining to that topic, however, the neighbour refused to listen."
Comment_9,App_1179,2024-07-16 00:00:00,App_1179 would like a female companion for his parrot. He always seems sad during mating season. 
Comment_10,App_1326,2024-07-18 00:00:00,"Franks Eddy villagers are not taking good care of birds, and many are dying. The lady that sells tortillas by the supermarket has one and she says that parrots don't drink water. So she feeds it only masa, which eventually hardens in the throat and causes birds to die. She said it would be good to inspect the village because there is little awareness about parrots."
Comment_11,App_933,2024-10-01 00:00:00,"An officer broke Birdie's leg while placing a band. The band was not removed until the applicant got in touch with the main office and demanded the band to be removed due to the extreme swelling it caused. The bird's leg turned black and the applicant had to seek assistance in San Igancio. It was a big expensive and she also had to travel. The bird currently does not have a band and Mrs. Reimer expressed that she does not want another band & FD was okay with it. Thankfully, Birdie's leg  recovered well. "
,,,
